L_Leg    Type
791       1
1146      1
395       1
767       1
1385      1
1022      1
2073      1
803       1
1263      1
1018      1
1101      1
945       1
139       1
865       2
775       2
729       2
1723      2
1113      2
820       2
1623      2
1404      2
1201      2
205       2
1381      2
580       2
1803      2L_Leg    Type
791       1
1146      1
395       1
767       1
1385      1
1022      1
2073      1
803       1
1263      1
1018      1
1101      1
945       1
139       1
865       2
775       2
729       2
1723      2
1113      2
820       2
1623      2
1404      2
1201      2
205       2
1381      2
580       2
1803      2
